query_index,query_path,label,total_relevant,search_ms,extract_ms,pca_ms,P@1,R@1,AP@1,P@5,R@5,AP@5,P@10,R@10,AP@10,P@20,R@20,AP@20
1010,dataset\Scott_Oriole_0072_795822.jpg,dataset,1245,0.753,7185.726,0.876,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
1022,dataset\Shiny_Cowbird_0037_24440.jpg,dataset,1245,0.691,7078.662,0.812,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
1034,dataset\Slaty_Backed_Gull_0027_53080.jpg,dataset,1245,0.887,7213.137,0.813,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
1043,dataset\Song_Sparrow_0069_122065.jpg,dataset,1245,0.733,7035.981,0.820,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
1093,dataset\Vermilion_Flycatcher_0009_42234.jpg,dataset,1245,0.804,7279.031,0.831,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
1098,dataset\Vermilion_Flycatcher_0052_42551.jpg,dataset,1245,0.729,7160.379,0.815,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
1103,dataset\Vesper_Sparrow_0004_125787.jpg,dataset,1245,0.851,6212.073,0.850,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
1116,dataset\Warbling_Vireo_0036_158268.jpg,dataset,1245,0.738,5924.197,0.742,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
1130,dataset\Western_Gull_0070_54978.jpg,dataset,1245,0.883,5708.528,0.834,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
1140,dataset\Western_Meadowlark_0096_77901.jpg,dataset,1245,0.808,6082.330,0.939,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
1149,dataset\White_Breasted_Kingfisher_0012_73367.jpg,dataset,1245,0.662,5849.094,0.805,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
1161,dataset\White_Breasted_Nuthatch_0103_86470.jpg,dataset,1245,0.839,5812.599,0.884,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
1182,dataset\White_Throated_Sparrow_0059_128964.jpg,dataset,1245,0.823,6050.426,0.826,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
1195,dataset\Wilson_Warbler_0099_175559.jpg,dataset,1245,0.820,5675.339,1.217,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
1197,dataset\Winter_Wren_0003_189838.jpg,dataset,1245,0.705,5669.574,0.676,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
1206,dataset\Worm_Eating_Warbler_0053_176079.jpg,dataset,1245,0.670,5733.650,0.929,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
1209,dataset\Worm_Eating_Warbler_0075_176045.jpg,dataset,1245,0.705,6051.277,0.823,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
1232,dataset\Yellow_Throated_Vireo_0011_794986.jpg,dataset,1245,0.852,5995.680,1.133,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
1236,dataset\Yellow_Throated_Vireo_0043_159628.jpg,dataset,1245,0.880,5773.247,0.840,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
